Date,Month,Year,Quarter,Service,Sanctuary Attendance,Volunteer Classroom Attendance,Nursery Attendance,K-3 Attendance,4-6 Attendance,Youth Attendance,In-Person Total,"Adjusted Total Attendence 
(to remove duplicates)",Online Attendance,Total K-6th Grade Attendence,Total Adults,Notes
3/30/25,March,2025,Q1,11:00AM,30,2,3,7,5,3,50,46,0,12,32,Guest Speaker Mark Valentine attendance is an estimate
4/6/25,April,2025,Q2,9:15 AM,30,0,0,0,0,0,30,30,0,0,30,online stream technical difficulties
4/6/25,April,2025,Q2,11:00 AM,45,7,5,9,9,5,80,70,0,18,52,2nd service is an estimate
4/13/25,April,2025,Q2,9:15 AM,40,0,0,0,0,0,40,40,5,0,40,
4/13/25,April,2025,Q2,11:00 AM,29,7,4,9,9,4,62,53,0,18,36,
4/20/25,April,2025,Q2,9:15 AM,60,0,0,0,0,0,60,60,0,0,60,
4/20/25,April,2025,Q2,11:00 AM,57,7,3,9,9,5,90,80,0,18,64,
4/27/25,April,2025,Q2,9:15 AM,46,0,0,0,0,0,46,46,8,0,46,
4/27/25,April,2025,Q2,11:00 AM,44,5,3,6,5,4,67,60,0,11,49,
5/4/25,May,2025,Q2,9:15 AM,45,0,0,0,0,0,45,45,12,0,45,
5/4/25,May,2025,Q2,11:00 AM,35,6,0,6,5,6,58,48,0,11,41,
5/11/25,May,2025,Q2,9:15 AM,41,0,0,0,0,0,41,41,5,0,41,
5/11/25,May,2025,Q2,11:00 AM,45,7,2,8,8,6,76,66,0,16,52,
5/18/25,May,2025,Q2,9:15 AM,38,0,0,0,0,0,38,38,8,0,38,
5/18/25,May,2025,Q2,11:00 AM,43,6,2,4,7,7,69,59,0,11,49,
5/25/25,May,2025,Q2,9:15 AM,0,0,0,0,0,0,0,0,0,0,0,Family Worship Day only 1 service
5/25/25,May,2025,Q2,11:00 AM,71,0,0,0,0,0,71,71,10,0,71,Family Worship Day only 1 service
6/1/25,June,2025,Q2,9:15 AM,45,0,0,0,0,0,45,45,3,0,45,
6/1/25,June,2025,Q2,11:00 AM,35,4,3,7,4,6,59,51,0,11,39,
6/8/25,June,2025,Q2,9:15 AM,35,0,0,0,0,0,35,35,6,0,35,
6/8/25,June,2025,Q2,11:00 AM,42,4,2,6,6,8,68,58,0,12,46,
6/15/25,June,2025,Q2,9:15 AM,26,0,0,0,0,0,26,26,13,0,26,Guest Speaker John LaShell
6/15/25,June,2025,Q2,11:00 AM,47,3,3,5,4,3,65,60,0,9,50,Guest Speaker John LaShell
6/22/25,June,2025,Q2,9:15 AM,36,0,0,0,0,0,36,36,5,0,36,
6/22/25,June,2025,Q2,11:00 AM,40,2,0,3,4,5,54,48,6,7,42,
6/29/25,June,2025,Q2,9:15 AM,35,0,0,0,0,0,35,35,4,0,35,
6/29/25,June,2025,Q2,11:00 AM,43,6,0,9,8,9,75,63,6,17,49,
7/6/25,July,2025,Q3,9:15 AM,35,0,0,0,0,0,35,35,13,0,35,1st service is an estimate
7/6/25,July,2025,Q3,11:00 AM,53,2,0,6,4,5,70,64,0,10,55,
7/13/25,July,2025,Q3,9:15 AM,49,0,0,0,0,0,49,49,16,0,49,
7/13/25,July,2025,Q3,11:00 AM,34,1,1,5,5,4,50,46,,10,35,
7/20/25,July,2025,Q3,9:15 AM,30,0,0,0,0,0,30,30,10,0,30,
7/20/25,July,2025,Q3,11:00 AM,55,1,1,2,4,6,69,63,,6,56,
7/27/25,July,2025,Q3,9:15 AM,45,0,,0,0,0,45,45,12,0,45,
7/27/25,July,2025,Q3,11:00 AM,25,2,1,7,7,7,49,42,4,14,27,
8/3/25,August,2025,Q3,9:15 AM,40,0,0,0,0,0,40,40,8,0,40,
8/3/25,August,2025,Q3,11:00 AM,32,4,1,7,5,6,55,47,3,12,36,
8/10/25,August,2025,Q3,9:15 AM,39,0,0,0,0,0,39,39,4,0,39,
8/10/25,August,2025,Q3,11:00 AM,36,2,0,3,4,6,51,45,6,7,38,
8/17/25,August,2025,Q3,9:15 AM,46,0,0,0,0,0,46,46,10,0,46,
8/17/25,August,2025,Q3,11:00 AM,36,4,0,3,4,6,53,45,1,7,40,
8/24/25,August,2025,Q3,9:15am,44,0,0,0,0,0,44,44,8,0,44,
8/24/25,August,2025,Q3,11:00am,41,4,0,3,5,4,57,51,4,8,45,
8/31/25,August,2025,Q3,11:00am,61,0,0,0,0,0,61,61,,0,61,Family Worship Day only 1 service
9/7/25,September,2025,Q3,9:15,34,,,,,0,34,34,3,0,34,
9/7/25,September,2025,Q3,11:00,32,2,0,1,3,5,43,37,4,4,34,
9/14/25,September,2025,Q3,9:15am,31,,,,,,31,31,22,0,31,
9/14/25,September,2025,Q3,11:00am,41,0,0,0,0,0,41,41,18,0,41,no children's ministry due to lack of volunteers
9/21/25,September,2025,Q3,9:15am,51,,,,,,51,51,13,0,51,
9/21/25,September,2025,Q3,11:00am,26,0,0,0,0,0,26,26,3,0,26,no children's ministry due to lack of volunteers
9/28/25,September,2025,Q3,9:15am,31,,,,,,31,31,7,0,31,
9/28/25,September,2025,Q3,11:00am,34,4,1,3,6,8,56,46,14,9,38,
10/5/25,October,2025,Q4,9:15,combined service,,,,,,0,0,,0,#VALUE!,Generation Excellent Preformance/ no first service
10/5/25,October,2025,Q4,11:00,95,No kids classes,,,,,95,95,Service not recorded,0,#VALUE!,Generation Excellent Preformance/ combined service
10/12/25,October,2025,Q4,9:15,33,,,,,,33,33,10,0,33,
10/12/25,October,2025,Q4,11:00,39,3,0,2,5,12,61,49,18,7,42,
10/19/25,October,2025,Q4,9:15,Didn't count,,,,,,0,0,16,0,#VALUE!,
10/19/25,October,2025,Q4,11:00,33,1,0,3,4,4,45,41,14,7,34,
10/26/25,October,2025,Q4,9:15,28,,,,,,28,28,,0,28,
10/26/25,October,2025,Q4,11:00,47,1,1,2,4,9,64,56,Service not recorded,6,48,online stream technical difficulties
11/2/25,November,2025,Q4,9:15,38,,,,,,38,38,8,0,38,
11/2/25,November,2025,Q4,11:00,33,4,0,0,5,6,48,40,13,5,37,
